Unnamed: 0,College/University Name,Type (Engineering / Medical / Arts),Type of Institute,State,City,Address,Approval Year
1019,AURORA HIGHER EDUCATION AND RESEARCH ACADEMY (DEEMED-TO-BE-UNIVERSITY) BHONGIR CAMPUS,Applied Arts and Crafts,Deemed to be University(Pvt),Telangana,NALGONDA,"4-3-596, TILAK ROAD, ABIDS, HYDERABAD, 500001",2025-2026
1020,AURORAS TECHNOLOGICAL INSTITUTE BEGUMPET HYDERABAD,Applied Arts and Crafts,Private-Self Financing,Telangana,HYDERABAD,"1-11-256, MOTHILAL NEHRU NAGAR, BEGUMPET, HYDERABAD",2025-2026
1021,,Applied Arts and Crafts,,Telangana,,,2025-2026
1022,,Applied Arts and Crafts,,Tripura,,,2025-2026
1023,,Applied Arts and Crafts,,Tripura,,,2025-2026
1024,AXIS INSTITUTE OF FASHION TECHNOLOGY,Applied Arts and Crafts,Private-Self Financing,Uttar Pradesh,KANPUR NAGAR,VILL-HATHIPUR TEHSIL KANPUR SADAR,2025-2026
1025,SAROJ INSTITUTE OF FILM AND FASHION,Applied Arts and Crafts,Private-Self Financing,Uttar Pradesh,LUCKNOW,"AHIMAMAU, SULTANPUR ROAD, LUCKNOW",2025-2026
1026,AXIS INSTITUTE OF FASHION TECHNOLOGY,Applied Arts and Crafts,Private-Self Financing,Uttar Pradesh,KANPUR NAGAR,VILL-HATHIPUR TEHSIL KANPUR SADAR,2025-2026
1027,,Applied Arts and Crafts,,Uttarakhand,,,2025-2026
1028,,Applied Arts and Crafts,,Uttarakhand,,,2025-2026
1029,SEACOM SKILLS UNIVERSITY SCHOOL OF ENGINEERING,Applied Arts and Crafts,State Private University,West Bengal,BIRBHUM,"VILL-KENDRADANGAL, PO- SATTORE, PS- PANRUI, DIST- BIRBHUM",2025-2026
1030,,Applied Arts and Crafts,,West Bengal,,,2025-2026
